■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																											
																																																								
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）					
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ			
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名	キャンパス	居所
32	材料系	20	教授	1	木村	好里	か	きむら	よしさと	3	Yoshisato	Kimura	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					熱電材料	Thermoelectric materials	耐熱合金	Heat resistant alloys	結晶構造・組織制御	Crystal structure and microstructure control	金属	Metallurgy	http://j3www.materia.titech.ac.jp/mishima-kimura/	http://j3www.materia.titech.ac.jp/mishima-kimura/index_eng.html	key_rid=1000181712		ｷﾑﾗ	ﾖｼｻﾄ	すずかけ	J3-1516
33	融合理工学系	27	教授	1	クロス	ジェフリー　S.	か	くろす	じぇふりー すこっと	1	Jeffrey S.	Cross	融合理工学系	27	エネルギーコース	1	材料系	20	材料コース	20	融合理工学系	27	地球環境共創コース	27																	バイオマス工学	Biomass engineering	教育工学	Educational technology and learning	エネルギー政策	Energy policy			http://www.tse.ens.titech.ac.jp/~cross/	http://www.tse.ens.titech.ac.jp/~cross/	key_rid=6000012476		ｸﾛｽ	ｼﾞｪﾌﾘｰ ｽｺｯﾄ	大岡山	S3-1005
34	応用化学系	21	准教授	2	桑田	繁樹	か	くわた	しげき	3	Shigeki	Kuwata	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					金属錯体化学	Coordination chemistry	有機金属化学	Organometallic chemistry	均一系触媒	Homogeneous catalysis			http://www.apc.titech.ac.jp/~skuwata/skuwata.html	http://www.apc.titech.ac.jp/~skuwata/skuwata-e.html	key_rid=5000039838		ｸﾜﾀ	ｼｹﾞｷ	大岡山	東2-603
35	システム制御系	16	教授	1	小酒	英範	か	こさか	ひでのり	3	Hidenori	Kosaka	システム制御系	16	システム制御コース	16	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																	エンジン	Internal combustion engines	燃焼工学	Combustion engineering	レーザー計測	Laser diagnostics			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=1000279139		ｺｻｶ	ﾋﾃﾞﾉﾘ	大岡山	石川台6-305
36	化学系	13	教授	1	腰原	伸也	か	こしはら	しんや	3	Shinya	Koshihara	化学系	13	エネルギーコース	1	化学系	13	化学コース	13																					光物性	Optical properties of solids	超高速レーザー	Ultrashort pulsed laser	固体物理	Solid state physics	物理化学	Chemical physics	http://www.chemistry.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=1000275596		ｺｼﾊﾗ	ｼﾝﾔ	大岡山	本館1-31
37	電気電子系	17	准教授	2	小寺	哲夫	か	こでら	てつお	3	Tetsuo	Kodera	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					量子コンピュータ関連基盤技術	Fundamental technologies for quantum computers	量子情報デバイス	Quantum information devices	ナノ量子エレクトロニクス	Nano quantum electronics	固体物理	Solid-state physics	http://www.quantum.ee.e.titech.ac.jp/	http://www.quantum.ee.e.titech.ac.jp/	key_rid=6000021720		ｺﾃﾞﾗ	ﾃﾂｵ	大岡山	北3-403
38	イノベーション科学系・技術経営専門職学位課程	29	教授	1	後藤	美香	か	ごとう	みか	2	Mika	Goto	技術経営専門職学位課程	30			イノベーション科学系	29	イノベーション科学コース	29	融合理工学系	27	エネルギーコース	1																	企業経済学	Business economics	エネルギー経済学	Energy economics	生産効率性分析	Production efficiency analysis			http://www.goto-lab.mot.titech.ac.jp/	http://www.goto-lab.mot.titech.ac.jp/	key_t2r2Rid=CTT100669189		ｺﾞﾄｳ	ﾐｶ	大岡山	西9-915
39	機械系	15	准教授	2	齊藤	卓志	さ	さいとう	たくし	4	Takushi	Saito	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					伝熱制御	Heat transfer control	材料加工	Materials processing	レーザー応用技術	Laser application			http://netsu-n.mep.titech.ac.jp/	http://netsu-n.mep.titech.ac.jp/index_en.html	key_rid=1000275201		ｻｲﾄｳ	ﾀｸｼ	大岡山	石川台1-308
40	応用化学系	21	准教授	2	斎藤	礼子	さ	さいとう	れいこ	4	Reiko	Saito	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					高分子合成	Polymer synthesis	高分子反応	Polymer reaction	複合材料	Composites	ナノ材料	Nano materials	http://www.op.titech.ac.jp/polymer/lab/saito/index.htm	http://www.op.titech.ac.jp/polymer/lab/saito/index-e.html	key_rid=1000015320		ｻｲﾄｳ	ﾚｲｺ	大岡山	東2-208
41	材料系	20	准教授	2	笹川	崇男	さ	ささがわ	たかお	4	Takao	Sasagawa	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					無機電子材料	Inorganic electronic material	超伝導	Superconductivity	スピントロニクス	Spintronics	ナノテク新素材	Novel nanomaterial	http://www.msl.titech.ac.jp/~sasagawa/	http://www.msl.titech.ac.jp/~sasagawa/index_e.html	key_rid=5000090807		ｻｻｶﾞﾜ	ﾀｶｵ	すずかけ	J1-503
42	機械系	15	准教授	2	笹部	崇	さ	ささべ	たかし	4	Takashi	Sasabe	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					燃料電池	Fuel cell	リチウムイオン二次電池	Lithium-ion secondary battery	X線可視化計測	X-ray visualization	熱工学	Thermodynamics	http://www.tanso.mech.e.titech.ac.jp/hirai_index-j.html	 http://www.tanso.mech.e.titech.ac.jp/hirai_index-e.html	key_t2r2Rid=CTT100557085		ｻｻﾍﾞ	ﾀｶｼ	大岡山	北3-609
43	機械系	15	教授	1	佐藤	勲	さ	さとう	いさお	4	Isao	Satoh	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					エネルギー有効利用	Energy utilization	製造工程の熱工学	Thermal engineering in manufacturing process	熱流体計測技術	Measurement technique for heat and fluid flow			http://netsu-n.mep.titech.ac.jp/index_jp.html	http://netsu-n.mep.titech.ac.jp/index_en.html	key_rid=1000015382		ｻﾄｳ	ｲｻｵ	大岡山	石川台1-307
44	応用化学系	21	教授	1	佐藤	浩太郎	さ	さとう	こうたろう	4	Kotaro	Satoh	応用化学系	21	エネルギーコース	1																									高分子合成	Polymer Synthesis	精密重合	Precision Polymerization	リビング重合	Living Polymerization	バイオベースポリマー	Bio-Based Polymers	http://www.satoh-cap.mac.titech.ac.jp/	http://www.satoh-cap.mac.titech.ac.jp/eng/e_index.html	key_rid=6000001727		ｻﾄｳ	ｺｳﾀﾛｳ	大岡山	本館391B
45	システム制御系	16	准教授	2	佐藤	進	さ	さとう	すすむ	4	Susumu	Sato	システム制御系	16	システム制御コース	16	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																	排気後処理	Exhaust after-treatment	代替燃料	Alternative fuel	エンジン	Internal combustion engines			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=6000005791		ｻﾄｳ	ｽｽﾑ	大岡山	石川台6-323
46	材料系	20	准教授	2	三宮	工	さ	さんのみや	たくみ	4	Takumi	Sannomiya	材料系	20	材料コース	20	材料系	20	エネルギーコース	1	材料系	20	ライフエンジニアリングコース	3																	透過電子顕微鏡	Transmission electron microscopy	ナノ光学材料	Nanooptical materials	プラズモニクス	Plasmonics	バイオセンサー	Biosensors	http://www.sannomiya.iem.titech.ac.jp/Home.htm	http://www.sannomiya.iem.titech.ac.jp/HomeEn.htm	key_t2r2Rid=CTT100620163		ｻﾝﾉﾐﾔ	ﾀｸﾐ	すずかけ台	J2-1502
47	材料系	20	教授	1	史	蹟	さ	し	せき	4	Ji	Shi	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					金属物性	Metal physics	薄膜工学	Thin film technology	磁性薄膜	Magnetic thin films	ナノヘテロ構造	Nanohetero structures	http://www.nakamura-shi.mtl.titech.ac.jp	http://www.nakamura-shi.mtl.titech.ac.jp/english/	key_rid=5000039904		ｼ	ｾｷ	大岡山	南8-214
48	応用化学系	21	教授	1	宍戸	厚	さ	ししど	あつし	4	Atsushi	Shishido	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					高分子	Polymer	光	Light	液晶	Liquid crystal	材料	Material	http://www.polymer.res.titech.ac.jp/	http://www.polymer.res.titech.ac.jp/english/	key_rid=1000326008		ｼｼﾄﾞ	ｱﾂｼ	すずかけ	R1-810
49	機械系	15	准教授	2	志村	祐康	さ	しむら	まさやす	4	Masayasu	Shimura	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					乱流	Turbulent flows	反応性乱流	Turbulent reacting flows	レーザー計測	Laser diagnostics	高性能数値計算	High performance computing	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_t2r2Rid=CTT100514967		ｼﾑﾗ	ﾏｻﾔｽ	大岡山	石川台1-211
50	応用化学系	21	教授	1	下山	裕介	さ	しもやま	ゆうすけ	4	Yusuke	Shimoyama	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					化学工学	Chemical engineering	超臨界流体	Supercitical fluid	ナノ構造材料	Nano-structured material	分離材料	Material for separation	http://www.chemeng.titech.ac.jp/~yshimo/index.html	http://www.chemeng.titech.ac.jp/~yshimo/index.html	key_rid=5000091395		ｼﾓﾔﾏ	ﾕｳｽｹ	大岡山	南1-423
51	機械系	15	教授	1	肖	鋒	さ	しゃお	ふぇん	5	Feng	Xiao	機械系	15	機械コース	15	機械系	15	エネルギーコース	1	融合理工学系	27	エネルギーコース	1																	数値流体力学	Computational fluid dynamics	計算物理	Computational physics	数値解析	Numerical analysis	コンピュータシミュレーション	Computer simulation	http://www.xiao.mech.e.titech.ac.jp/	http://www.xiao.mech.e.titech.ac.jp/	key_rid=1000321700		ｼｬｵ	ﾌｪﾝ	すずかけ	J2-1302
